Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.424605846405029,6.439315641110835,6.3756731331389895,6.407194179053124,493729600
2010-01-05,6.435712814331055,6.472037185269431,6.4017897068824965,6.442317391160505,601904800
2010-01-06,6.333344459533691,6.461230281570904,6.326739882515293,6.435712998447995,552160000
2010-01-07,6.3216352462768555,6.364264383327154,6.275704622705846,6.356759182999326,477131200
2010-01-08,6.363663673400879,6.364264490248965,6.276005737781527,6.313229928785868,447610800
2010-01-11,6.307527542114258,6.394285265000137,6.257693806687277,6.3882811039097005,462229600
2010-01-12,6.23577880859375,6.297320660021102,6.196752962752996,6.2799081915167845,594459600
2010-01-13,6.3237385749816895,6.332144401838027,6.127107478718295,6.240283528305532,605892000
2010-01-14,6.28711462020874,6.318035655041357,6.274806488385444,6.307528771896383,432894000
2010-01-15,6.18204402923584,6.352258417727271,6.180242780603052,6.332144474661142,594067600
2010-01-19,6.45552396774292,6.460027087069968,6.221367774911754,6.25408923958657,730007600
2010-01-20,6.356159687042236,6.4708359509256335,6.289214497084316,6.451623037328589,612152800
2010-01-21,6.246284008026123,6.403589784532219,6.220466923126691,6.366665405080015,608154400
2010-01-22,5.93647575378418,6.229171662525206,5.9187642880948514,6.207557493868692,881767600
2010-01-25,6.096184253692627,6.145116553483881,6.009726355450677,6.079373006834796,1065699600
2010-01-26,6.182342529296875,6.41559895224473,6.081475038599557,6.182642737319399,1867110000
2010-01-27,6.240581035614014,6.321634788413398,5.989912573372932,6.209660013314676,1722568400
2010-01-28,5.982708930969238,6.169134115050728,5.964997458293693,6.1520230584531195,1173502400
2010-01-29,5.7656636238098145,6.07006775595134,5.711327172186511,6.036445257825907,1245952400
2010-02-01,5.845818996429443,5.883944627003341,5.742850013554315,5.7749714815773885,749876400
2010-02-02,5.8797407150268555,5.893550286549331,5.805291116095373,5.881242156221584,698342400
2010-02-03,5.980908393859863,6.010028176290331,5.836511516441721,5.859026721229602,615328000
2010-02-04,5.765364646911621,5.955091341649576,5.750954659229583,5.905858018692982,757652000
2010-02-05,5.867732524871826,5.883943761374101,5.729339804930618,5.782776042147731,850306800
2010-02-08,5.827504634857178,5.9403804459120915,5.823902138604233,5.874636492542973,478270800
2010-02-09,5.889647006988525,5.9289730587479115,5.846417849802574,5.896551391264354,632886800
2010-02-10,5.857527256011963,5.901957662198088,5.831710156272125,5.880642482353268,370361600
2010-02-11,5.964094638824463,5.996516696465775,5.825701980995409,5.850318631972112,550345600
2010-02-12,6.015430450439453,6.053255856972336,5.868932152327783,5.947284436592967,655468800
2010-02-16,6.106093406677246,6.11479904095814,6.049655485063141,6.062263824730456,543737600
2010-02-17,6.080575942993164,6.133410961508546,6.0298411785896056,6.129808464570173,436396800
2010-02-18,6.091981410980225,6.120800977929426,6.031640805915979,6.0529547721156876,422825200
2010-02-19,6.054156303405762,6.100087327665818,6.037345055528109,6.059860656451437,415469600
2010-02-22,6.016630172729492,6.079072227195227,5.97970579536266,6.074269300553019,390563600
2010-02-23,5.915761947631836,6.043947927050307,5.875235079836102,6.0040210742981905,575094800
2010-02-24,6.023837089538574,6.0472525151801415,5.939179624169119,5.9508877378017075,460566400
2010-02-25,6.064063549041748,6.08988063810001,5.910660852412726,5.925370645128962,665126000
2010-02-26,6.142717361450195,6.159228405880867,6.064064844535981,6.075472351346229,507460800
2010-03-01,6.273904323577881,6.289214130982631,6.167632688499138,6.176638528292245,550093600
2010-03-02,6.269702434539795,6.329142028985736,6.236379739675086,6.302123703573347,566546400
2010-03-03,6.284111499786377,6.300322736244172,6.242384179559122,6.2724041861905775,372052800
2010-03-04,6.325538158416748,6.331842526899397,6.263096092071562,6.282610014377256,366041200
2010-03-05,6.572903633117676,6.595418831543843,6.443216587189503,6.452523034874503,899620400
2010-03-08,6.576806545257568,6.607126350756229,6.551889682123633,6.604725087573212,429889600
2010-03-09,6.69508695602417,6.754526547875784,6.541083830574317,6.553692168116807,920259200
2010-03-10,6.749722957611084,6.768936272454618,6.700490441571761,6.719403147559056,596218000
2010-03-11,6.769535541534424,6.769535541534424,6.704092195246633,6.721804468964327,405700400
2010-03-12,6.802558422088623,6.836480726929872,6.777041140435703,6.8256732378859954,416323600
2010-03-15,6.719701766967773,6.769534286503013,6.611929108555397,6.765932592444959,493502800
2010-03-16,6.73801326751709,6.75392388839134,6.67977452723418,6.72990805350764,446908000
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800
2010-03-18,6.744019031524658,6.754525911685149,6.682777796293037,6.72750718918501,342109600
2010-03-19,6.671971797943115,6.76173200885215,6.64135097491963,6.748223046207236,559445600
2010-03-22,6.7470197677612305,6.784545362946566,6.608927308985766,6.618533963961009,456419600
2010-03-23,6.8553948402404785,6.868003580048533,6.727508598487147,6.773739842826274,602431200
2010-03-24,6.885714054107666,6.9106309197461835,6.829876162240197,6.833779267435768,597780400
2010-03-25,6.804058074951172,6.933745519804528,6.792049755532307,6.932244079065441,542284400
2010-03-26,6.93164587020874,6.963166512639333,6.861098181753544,6.873106503607268,640875200
2010-03-29,6.976376056671143,7.02080605349527,6.9532612355899746,6.9946891514378935,540744400
2010-03-30,7.080244064331055,7.129177572447662,7.032211581116944,7.102759265786933,527310000
2010-03-31,7.054728031158447,7.103061131768849,7.038517596280291,7.069438628055344,430659600
2010-04-01,7.083847999572754,7.166703027876636,6.987183399073021,7.127077163083851,603145200
2010-04-05,7.159496784210205,7.160097200220622,7.047821811143165,7.054126580064301,684507600
2010-04-06,7.1910200119018555,7.2120337758677495,7.1147687628669996,7.150792930825467,447017200
2010-04-07,7.222840309143066,7.262466968806076,7.164600750996949,7.191318865749607,628502000
2010-04-08,7.20332670211792,7.251058574835145,7.14598817276622,7.218036494277686,572989200
2010-04-09,7.2585601806640625,7.261563061164583,7.2186337340304725,7.2477534983289,334182800
2010-04-12,7.273574352264404,7.296989778044101,7.25916436617006,7.270872079059908,333026400
2010-04-13,7.277778148651123,7.288886249649753,7.238151479338481,7.2606674886369955,306210800
2010-04-14,7.37563943862915,7.37924193356846,7.327007360194988,7.363331315064805,404076400
2010-04-15,7.472610950469971,7.4759128394965035,7.3702419695361705,7.3783471892368935,376784800
2010-04-16,7.426978588104248,7.5392540147243094,7.341421282069984,7.46210173402284,750545600
2010-04-19,7.417068958282471,7.441685210819167,7.257961936668035,7.41586812637222,566924400
2010-04-20,7.342620849609375,7.4825145962212,7.293688139262988,7.461200225207798,738326400
2010-04-21,7.781816482543945,7.812737516329359,7.67704585869602,7.769207742222716,982391200
2010-04-22,7.999460220336914,8.007866045193637,7.691153386713968,7.752395023332227,793424800
2010-04-23,8.130345344543457,8.170872214421923,8.015368508032093,8.045087891960296,796955600
2010-04-26,8.090422630310059,8.179281817661359,8.051095772401846,8.161870550538785,479068800
2010-04-27,7.866470813751221,8.040587462168693,7.820840796664969,8.023476005355455,709343600
2010-04-28,7.853263854980469,7.925311389730356,7.697459467856702,7.902796986034357,758402400
2010-04-29,8.064604759216309,8.10543145116114,7.865571229084787,7.895891039990527,558840800
2010-04-30,7.837954044342041,8.122544105781492,7.835252572279996,8.084718687170321,542463600
2010-05-03,7.995858669281006,8.041790102580844,7.891688474407178,7.920508448751758,454342000
2010-05-04,7.7656025886535645,7.903995671061677,7.707664448674482,7.891988152677336,723819600
2010-05-05,7.684849739074707,7.749393265906971,7.46690350952179,7.595990563186318,883103200
2010-05-06,7.392454147338867,7.752694972806297,5.981508041773555,7.620006227341908,1285860800
2010-05-07,7.0805487632751465,7.402064971982324,6.76083460561794,7.316207820889717,1676018400
2010-05-10,7.624809265136719,7.644622996847167,7.460899674559441,7.512534658605443,984306400
2010-05-11,7.700758934020996,7.8019262095404525,7.5200377525735815,7.560264015442465,848906800
2010-05-12,7.8679728507995605,7.8991936865063,7.7662051271073125,7.782414758627737,654379600
2010-05-13,7.7559967041015625,7.955330005715353,7.6971567379155195,7.901893783511818,599712400
2010-05-14,7.619706153869629,7.699559893837266,7.490019479654255,7.659933231910646,759362800
2010-05-17,7.631711483001709,7.690551437512045,7.436280523343214,7.646121464095669,762834800
2010-05-18,7.5758771896362305,7.761701563424234,7.512834300838579,7.714570102068531,782678400
2010-05-19,7.455198287963867,7.592690411157621,7.350428451591647,7.490021630977445,1025726800
2010-05-20,7.137584686279297,7.320407000779174,7.091052834001331,7.261266408954286,1282915200
2010-05-21,7.274473667144775,7.33991740202504,6.9451523344968935,6.989281704101598,1223891200
2010-05-24,7.407763481140137,7.532047201982254,7.392753881107579,7.423374298862527,754238800
2010-05-25,7.361532688140869,7.4077631197391876,7.119570636613475,7.185314188601005,1048006400
2010-05-26,7.328210830688477,7.568972879093147,7.317403340796613,7.507431430755497,850654000
2010-05-27,7.605595111846924,7.621806343388564,7.478310129939799,7.523039918239852,666282400
2010-05-28,7.7115654945373535,7.787216295005307,7.605594091804959,7.786916487865742,815614800
2010-06-01,7.8301472663879395,7.983549969910751,7.77400956446908,7.79592435091857,876472800
2010-06-02,7.92380952835083,7.949326006348541,7.815135833753872,7.941520598216101,688548000
2010-06-03,7.898894309997559,7.971842866371017,7.817539126106945,7.960734767057087,650106800
2010-06-04,7.683947563171387,7.8622662857213905,7.644021106019579,7.751492351647128,758304400
2010-06-07,7.533246040344238,7.779710758131174,7.521537529339461,7.753893675739015,886942000
2010-06-08,7.484914779663086,7.6191049475117865,7.374440642566269,7.602293299821115,1000770400
2010-06-09,7.300888538360596,7.562064599818809,7.279574980042529,7.549155259396282,854630000
